# Cowes Week 2023 - New York Yacht Club Challenge Cup - Day 6 - 34 boats - https://www.cowesweek.co.uk/web/code/php/main_c.php?section=racing&page=results2023&dayrequest=6&classrequest=10/6001
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR11152,GLADIATOR,,AJ Langley,,12:04:50,01:34:50,,02:12:06,
2,,GBR1542R,KHUMBU,,Guy Gillon,,12:16:34,01:46:34,,02:15:20,
3,,GBR2747R,INO NOIR,,James Neville,,12:11:24,01:41:24,,02:16:29,
4,,USA61567,FLYING JENNY,,Sandra Askew,,12:34:43,02:04:43,,02:21:11,
5,,USA61136,TSCHUSS,,Christian Zugel,,12:21:14,01:51:14,,02:21:29,
6,,GBR750R,DARK N STORMY,,Ian Atkins,,12:21:29,01:51:29,,02:21:35,
7,,NED17001,VAN UDEN,,Gerd-Jan Poortman,,12:20:27,01:50:27,,02:22:16,
8,,RSA31,TOKOLOSHE 4,,David Bartholomew,,12:37:08,02:07:08,,02:24:10,
9,,GBR3153X,AKHEILOS,,Ben Pritchard,,12:38:22,02:08:22,,02:25:49,
10,,SWE918,GARM,,GARM,,12:46:36,02:16:36,,02:29:18,
11,,GBR5R,GELERT,,James Howells,,12:43:54,02:13:54,,02:31:18,
12,,GBR3412,KHUMBU 2,,Christian Hamilton,,12:40:38,02:14:33,,02:32:51,
13,,GBR315X,JIRAFFE,,Simon Perry,,12:44:58,02:14:58,,02:32:55,
14,,GBR314X,KATABATIC,,Lance Adams,,12:45:38,02:15:38,,02:34:05,
15,,GBR7891X,BULLIT,,Julian Metherell,,12:46:58,02:16:58,,02:34:46,
16,,GBR942R,BULLDOG,,Derek Shakespeare,,12:55:01,02:25:01,,02:36:37,
17,,GBR313X,GALLIVANTER,,Tor McLaren,,12:50:16,02:20:16,,02:38:22,
18,,FRA38568,PINTIA,,Gilles Fournier & Corinne Migraine,,12:59:21,02:29:21,,02:43:05,
19,,NED14545,EMOTIONS,,George Westerkamp,,12:49:49,02:19:49,,02:43:44,
19,,GBR42N,LA REPONSE,,Andrew McIrvine,,12:54:23,02:24:23,,02:43:44,
21,,IRL39000,SOUTHERLY IOW,,Nadine Emsey,,13:00:17,02:30:17,,02:46:13,
22,,GBR79R,SKERMISHER,,Jonathan Blanshard & Garfield Smith,,13:02:59,02:32:59,,02:46:27,
23,,GBR1010L,XINSKA,,Bernard Olesinski,,13:03:34,02:33:34,,02:47:42,
24,,GBR7877R,TILT,,Alex & Andy Moore,,13:06:18,02:36:18,,02:48:58,
25,,GBR8405R,OLYMPIA'S TIGRESS,,Hugh Torode & Susan Glenny,,13:34:23,03:04:23,,03:18:24,
,,GBR3119X,SQUIRREL,,Chris & Laura Anstead,,13:00:22,02:30:22,,02:50:49,NOD
,,GBR316X,NIFTY,,Roger Bowden,,,,,,NOD
,,GBR3116X,THE BODFATHER,,Charlie Whelan,,,,,,NOD
,,GBR86R,FARGO,,Bertie Bicket,,,,,,NOD
,,GBR3110X,JUBILEE,,Tony Dickin,,,,,,NOD
,,GBR7408R,BORDIER 1,,Bordier,,,,,,RET
,,GBR8409R,BORDIER 2,,Bordier,,,,,,RET
,,GER6000,WALROSS IV,,Konrad Sagebiel,,,,,,DNC
,,GBR7811R,FREQUENT FLYER,,Mikey Wollmann,,,,,,DNC
