# 2021 RORC Spring Series - IRC - Race 3 (Sat 1 May 21 10:00:00) - 36 boats - https://www.rorc.org/raceresults/2021/springseries-irc03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR363R,Whooper,One Off,Giovanni Belgrano,,14:59:33,4:59:33,0.930,4:38:35,
2,2,GBR716,Justify,J/80,Ross Bowdler,,15:09:27,5:09:27,0.946,4:52:44,
3,3,GBR1815X,Fujitsu British Soldier,Sun Fast 3600,ASA,,14:40:24,4:40:24,1.050,4:54:25,
4,4,GBR6712R,Dawn Treader,JPK 1180,Ed Bell,,14:32:28,4:32:28,1.099,4:59:26,
5,5,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,14:30:42,4:30:42,1.109,5:00:12,
6,6,GBR809T,Eager,Nicholson 55,Chris Cecil-Wright,Richard Powell,14:44:18,4:44:18,1.060,5:01:21,
7,7,GBR1428R,Rogan Josh,First 40,Richard Powell,,14:42:19,4:42:19,1.070,5:02:05,
8,8,GBR236R,Rumbleflurg,Ker 39,David Cummins,,14:31:06,4:31:06,1.115,5:02:17,
9,9,GBR26R,Morning After,S&S 34,Stuart Greenfield,,15:24:04,5:24:04,0.933,5:02:21,
10,10,GBR562R,Sailplane 3,MAT 12,Rob Bottomley,Nicholas Jones,14:28:09,4:28:09,1.131,5:03:17,
11,11,GBR888X,Sunrise,JPK 1180,Thomas Kneen,,14:36:56,4:36:56,1.097,5:03:48,
12,12,GBR7122X,Juno,J/122E,Christopher Daniel,,14:39:26,4:39:26,1.092,5:05:08,
13,13,GBR8888N,Cobra,King 40,Michael Blair,Stevie Beckett,14:34:22,4:34:22,1.115,5:05:55,
14,14,GBR9922T,R&W,J/122,Andy Theobald,,14:47:10,4:47:10,1.078,5:09:34,
15,15,GBR2664R,Darkwood,J/121,Michael O'Donnell,,14:38:33,4:38:33,1.115,5:10:35,
16,16,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,15:08:49,5:08:49,1.007,5:10:59,
17,17,GBR9405R,Juliette,J/105,Dan Rigden,,15:17:06,5:17:06,0.999,5:16:47,
18,18,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,15:15:48,5:15:48,1.008,5:18:20,
19,19,GBR9863,In X Celsis,X-119,Guy Raynes,,15:09:41,5:09:41,1.035,5:20:31,
20,20,GBR5440R,Thunderbird,Farr 40,Rupert Wolloshin,,14:38:02,4:38:02,1.157,5:21:41,
21,21,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,14:59:50,4:59:50,1.074,5:22:01,
22,22,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,,15:09:13,5:09:13,1.047,5:23:45,
23,23,GBR419R,Redshift,Farr GP42,Ed Fishwick,,14:19:35,4:19:35,1.258,5:26:33,
24,24,GBR4921R,Ino XXX,HH42,James Neville,,14:18:39,4:18:39,1.270,5:28:29,
25,25,GBR1544R,Simples,XP 44,Demian Smith,,15:07:50,5:07:50,1.123,5:45:42,
26,26,GBR520X,Tala,Botin IRC 52,David Collins,,14:14:33,4:14:33,1.414,5:59:56,
,37,FRA8051,Blt,Quarter Ton Bullit Fauroux,Sam Laidlaw,,,,0.911,,DNC-Did Not Come to Starting Area
,37,GBR6508T,Gr8 Banter,Mustang Mk2,Ian Handley,,,,0.911,,DNC-Did Not Come to Starting Area
,37,GBR2947L,Jackdaw,J/92,David Ward,,,,0.957,,DNC-Did Not Come to Starting Area
,37,GBR8274,Machismo II,Sigma 38,Tim Levett,,,,0.980,,DNC-Did Not Come to Starting Area
,37,GBR1575L,Pure Attitude,X 37,Martin Gray,Ifan James,,,1.022,,DNC-Did Not Come to Starting Area
,37,GBR7727T,Musketeer,First 40.7,Phillip Holroyd Smith,,,,1.031,,DNC-Did Not Come to Starting Area
,37,GBR3759,Jelenko II,Sun Fast 3600,Jonathan Bevan,,,,1.044,,DNC-Did Not Come to Starting Area
,37,GBR7951R,Skylander,First 40,Yuri Fadeev,,,,1.076,,DNC-Did Not Come to Starting Area
,37,GBR8611R,Kestrel,J/111,Simon Bamford,,,,1.096,,DNC-Did Not Come to Starting Area
,37,GBR4669R,Pata Negra,Lombard 46,Andrew Hall,Christopher Jackson,,,1.154,,DNC-Did Not Come to Starting Area
