# Royal Southern Summer Series 2025 September Regatta - R8 - IRC 2 Class - 10 boats - https://scm.royal-southern.co.uk/racing-results/september-regatta-2025-p30
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR9091R,Jukebox,J/109,J Smart,,11:37:10,0:52:10,,0:52:10,
2,2.0,GBR1250N,Elaine Again,JPK1010,Edward Mockridge,,11:37:04,0:52:04,,0:52:16,
3,3.0,GBR3061X,Njord,Archambault - A35,Andrew Screech,,11:36:48,0:51:48,,0:52:44,
4,4.0,GBR543R,Karaboudjan,J/109,Peter McConnell,,11:38:13,0:53:13,,0:53:23,
5,5.0,GBR1599R,Jump 2 it,J/99,Kevin Taylor,,11:38:52,0:53:52,,0:54:18,
6,6.0,GBR2091R,Jenie,J/109,Rosie Berry,,11:40:05,0:55:05,,0:55:08,
7,7.0,GBR8088,Frank 4,J/109,Samantha Love,,11:42:32,0:57:32,,0:57:39,
8,8.0,GBR5831R,Thunderbault,Archaumbault 31,Julian James,,11:43:30,0:58:30,,0:57:48,
9,9.0,GBR5250X,JODO,JOD35,Rich Thoroughgood,,11:43:17,0:58:17,,0:58:59,
10,10.0,GBR9L,Sunshine,Ker 9m,Malcolm Roberts,,11:44:27,0:59:27,,1:00:24,
